,Consum.Alcohol,Salud,Numero_rel
0,0.0,Excellent,0.15108154738988464
1,0.0,Fair,0.1564429424933339
2,0.0,Good,0.3311160542413483
3,0.0,Poor,0.05776332862785359
4,0.0,Very Good,0.3035961272475795
5,1.0,Excellent,0.1681943721730777
6,1.0,Fair,0.11175599407597166
7,1.0,Good,0.3332666213024857
8,1.0,Poor,0.02777888964495857
9,1.0,Very Good,0.3590041228035064
10,2.0,Excellent,0.18221884498480242
11,2.0,Fair,0.09513677811550152
12,2.0,Good,0.3152482269503546
13,2.0,Poor,0.02082066869300912
14,2.0,Very Good,0.38657548125633234
15,3.0,Excellent,0.18424949908528618
16,3.0,Fair,0.08485059674187646
17,3.0,Good,0.3096088509452043
18,3.0,Poor,0.018729854516943985
19,3.0,Very Good,0.40256119871068907
20,4.0,Excellent,0.21496127016733
21,4.0,Fair,0.079856207472076
22,4.0,Good,0.28745666966234434
23,4.0,Poor,0.019086746266101767
24,4.0,Very Good,0.3986391064321479
25,5.0,Excellent,0.21762627312409064
26,5.0,Fair,0.0764913739347329
27,5.0,Good,0.2872583662440241
28,5.0,Poor,0.012159634171689877
29,5.0,Very Good,0.4064643525254625
30,6.0,Excellent,0.20864127345082434
31,6.0,Fair,0.07106310403638431
32,6.0,Good,0.2717453098351336
33,6.0,Poor,0.01137009664582149
34,6.0,Very Good,0.43718021603183627
35,7.0,Excellent,0.2192846034214619
36,7.0,Fair,0.07153965785381027
37,7.0,Good,0.2795489891135303
38,7.0,Poor,0.01088646967340591
39,7.0,Very Good,0.4187402799377916
40,8.0,Excellent,0.24073522845661557
41,8.0,Fair,0.0650394403929156
42,8.0,Good,0.2574787914868284
43,8.0,Poor,0.01317160291710076
44,8.0,Very Good,0.4235749367465397
45,9.0,Excellent,0.24267782426778242
46,9.0,Fair,0.0794979079497908
47,9.0,Good,0.26778242677824265
48,9.0,Poor,0.008368200836820083
49,9.0,Very Good,0.401673640167364
50,10.0,Excellent,0.22167237660195407
51,10.0,Fair,0.06458571247303642
52,10.0,Good,0.26595609694201244
53,10.0,Poor,0.013450069788097957
54,10.0,Very Good,0.4343357441948991
55,11.0,Excellent,0.1951219512195122
56,11.0,Fair,0.04878048780487805
57,11.0,Good,0.34146341463414637
58,11.0,Poor,0.024390243902439025
59,11.0,Very Good,0.3902439024390244
60,12.0,Excellent,0.2308215297450425
61,12.0,Fair,0.06198300283286119
62,12.0,Good,0.2559773371104816
63,12.0,Poor,0.015750708215297452
64,12.0,Very Good,0.4354674220963173
65,13.0,Excellent,0.19736842105263158
66,13.0,Fair,0.11842105263157894
67,13.0,Good,0.2631578947368421
68,13.0,Very Good,0.42105263157894735
69,14.0,Excellent,0.24074074074074073
70,14.0,Fair,0.06172839506172839
71,14.0,Good,0.30246913580246915
72,14.0,Poor,0.02263374485596708
73,14.0,Very Good,0.3724279835390947
74,15.0,Excellent,0.2217546131434121
75,15.0,Fair,0.06539333117513758
76,15.0,Good,0.26383943023632245
77,15.0,Poor,0.01505341534477177
78,15.0,Very Good,0.4339592101003561
79,16.0,Excellent,0.2359800111049417
80,16.0,Fair,0.06246529705719045
81,16.0,Good,0.24458634092171017
82,16.0,Poor,0.011660188784008884
83,16.0,Very Good,0.4453081621321488
84,17.0,Excellent,0.15384615384615385
85,17.0,Fair,0.08974358974358974
86,17.0,Good,0.3974358974358974
87,17.0,Very Good,0.358974358974359
88,18.0,Excellent,0.1683673469387755
89,18.0,Fair,0.05612244897959184
90,18.0,Good,0.25510204081632654
91,18.0,Poor,0.030612244897959183
92,18.0,Very Good,0.4897959183673469
93,19.0,Excellent,0.45454545454545453
94,19.0,Good,0.36363636363636365
95,19.0,Very Good,0.18181818181818182
96,20.0,Excellent,0.23399487836107555
97,20.0,Fair,0.05857874519846351
98,20.0,Good,0.26632522407170295
99,20.0,Poor,0.014297908664105847
100,20.0,Very Good,0.42680324370465217
101,21.0,Excellent,0.16751269035532995
102,21.0,Fair,0.06598984771573604
103,21.0,Good,0.25380710659898476
104,21.0,Poor,0.01015228426395939
105,21.0,Very Good,0.5025380710659898
106,22.0,Excellent,0.21710526315789475
107,22.0,Fair,0.07894736842105263
108,22.0,Good,0.2236842105263158
109,22.0,Poor,0.006578947368421052
110,22.0,Very Good,0.47368421052631576
111,23.0,Excellent,0.16923076923076924
112,23.0,Fair,0.12307692307692308
113,23.0,Good,0.2923076923076923
114,23.0,Poor,0.046153846153846156
115,23.0,Very Good,0.36923076923076925
116,24.0,Excellent,0.23623304070231443
117,24.0,Fair,0.07501995211492418
118,24.0,Good,0.26177174780526735
119,24.0,Poor,0.013567438148443736
120,24.0,Very Good,0.4134078212290503
121,25.0,Excellent,0.21760299625468166
122,25.0,Fair,0.06367041198501873
123,25.0,Good,0.24831460674157305
124,25.0,Poor,0.012359550561797753
125,25.0,Very Good,0.45805243445692884
126,26.0,Excellent,0.1984126984126984
127,26.0,Fair,0.1111111111111111
128,26.0,Good,0.29365079365079366
129,26.0,Poor,0.007936507936507936
130,26.0,Very Good,0.3888888888888889
131,27.0,Excellent,0.2
132,27.0,Fair,0.1073170731707317
133,27.0,Good,0.21951219512195122
134,27.0,Poor,0.01951219512195122
135,27.0,Very Good,0.45365853658536587
136,28.0,Excellent,0.21651221566975568
137,28.0,Fair,0.08390901432181971
138,28.0,Good,0.288458298230834
139,28.0,Poor,0.02308340353833193
140,28.0,Very Good,0.38803706823925865
141,29.0,Excellent,0.20388349514563106
142,29.0,Fair,0.06796116504854369
143,29.0,Good,0.2524271844660194
144,29.0,Poor,0.012944983818770227
145,29.0,Very Good,0.4627831715210356
146,30.0,Excellent,0.1992317969271877
147,30.0,Fair,0.09594188376753507
148,30.0,Good,0.2959251837007348
149,30.0,Poor,0.030477621910487643
150,30.0,Very Good,0.3784235136940548
